"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At","Artist Genres","Danceability","Energy","Key","Loudness","Mode","Speechiness","Acousticness","Instrumentalness","Liveness","Valence","Tempo","Time Signature","Album Genres","Label","Copyrights"
"spotify:track:1CS7Sd1u5tWkstBhpssyjP","Take Me to Church","spotify:artist:2FXC3k01G6Gw61bmprjgqS","Hozier","spotify:album:4Pv7m8D82A1Xun7xNCKZjJ","Hozier (Expanded Edition)","spotify:artist:2FXC3k01G6Gw61bmprjgqS","Hozier","2014-09-19","https://i.scdn.co/image/ab67616d0000b2734ca68d59a4a29c856a4a39c2","1","1","241693","https://p.scdn.co/mp3-preview/d6170162e349338277c97d2fab42c386701a4089?cid=9950ac751e34487dbbe027c4fd7f8e99","false","79","USSM11307291","spotify:user:arytiss","2024-07-17T17:09:43Z","irish singer-songwriter,modern rock,pop,pov: indie","0.566","0.664","4","-5.303","0","0.0464","0.634","0","0.116","0.437","128.945","4","","Columbia","P (P) 2014 Rubyworks, under license to Columbia Records, a Division of Sony Music Entertainment"
"spotify:track:6JmSfynzr6E0QllQZNEXEb","Angel of Small Death and the Codeine Scene","spotify:artist:2FXC3k01G6Gw61bmprjgqS","Hozier","spotify:album:4Pv7m8D82A1Xun7xNCKZjJ","Hozier (Expanded Edition)","spotify:artist:2FXC3k01G6Gw61bmprjgqS","Hozier","2014-09-19","https://i.scdn.co/image/ab67616d0000b2734ca68d59a4a29c856a4a39c2","1","2","219213","https://p.scdn.co/mp3-preview/840267b39ade56b3e8233cedcfab008a7c9fd716?cid=9950ac751e34487dbbe027c4fd7f8e99","false","64","USSM11307293","spotify:user:arytiss","2024-07-17T17:09:43Z","irish singer-songwriter,modern rock,pop,pov: indie","0.364","0.64","4","-5.757","1","0.0506","0.201","0.0000725","0.12","0.386","93.507","4","","Columbia","P (P) 2014 Rubyworks, under license to Columbia Records, a Division of Sony Music Entertainment"
"spotify:track:4JpazKcfOhbwqZrsYhzHee","Jackie and Wilson","spotify:artist:2FXC3k01G6Gw61bmprjgqS","Hozier","spotify:album:4Pv7m8D82A1Xun7xNCKZjJ","Hozier (Expanded Edition)","spotify:artist:2FXC3k01G6Gw61bmprjgqS","Hozier","2014-09-19","https://i.scdn.co/image/ab67616d0000b2734ca68d59a4a29c856a4a39c2","1","3","223120","https://p.scdn.co/mp3-preview/db43df76bd9bc2f6dcaaaa7edc6291b153e5d765?cid=9950ac751e34487dbbe027c4fd7f8e99","false","70","USSM11405187","spotify:user:arytiss","2024-07-17T17:09:43Z","irish singer-songwriter,modern rock,pop,pov: indie","0.555","0.727","6","-4.202","1","0.0388","0.0579","0.00000752","0.0937","0.739","82.142","4","","Columbia","P (P) 2014 Rubyworks, under license to Columbia Records, a Division of Sony Music Entertainment"
"spotify:track:2DNXgvkyv35vTWvdgjs7qn","Someone New","spotify:artist:2FXC3k01G6Gw61bmprjgqS","Hozier","spotify:album:4Pv7m8D82A1Xun7xNCKZjJ","Hozier (Expanded Edition)","spotify:artist:2FXC3k01G6Gw61bmprjgqS","Hozier","2014-09-19","https://i.scdn.co/image/ab67616d0000b2734ca68d59a4a29c856a4a39c2","1","4","222813","https://p.scdn.co/mp3-preview/02e87019d26c818328a91c33c10509224b880916?cid=9950ac751e34487dbbe027c4fd7f8e99","false","72","USSM11405188","spotify:user:arytiss","2024-07-17T17:09:43Z","irish singer-songwriter,modern rock,pop,pov: indie","0.443","0.533","7","-5.956","1","0.0473","0.429","0.00000366","0.332","0.596","183.791","4","","Columbia","P (P) 2014 Rubyworks, under license to Columbia Records, a Division of Sony Music Entertainment"
"spotify:track:1XJQ7xI6jzcZybuHemxsPP","To Be Alone","spotify:artist:2FXC3k01G6Gw61bmprjgqS","Hozier","spotify:album:4Pv7m8D82A1Xun7xNCKZjJ","Hozier (Expanded Edition)","spotify:artist:2FXC3k01G6Gw61bmprjgqS","Hozier","2014-09-19","https://i.scdn.co/image/ab67616d0000b2734ca68d59a4a29c856a4a39c2","1","5","323640","https://p.scdn.co/mp3-preview/19c1a4481231a1c1b69202c5652d2ba459215d34?cid=9950ac751e34487dbbe027c4fd7f8e99","false","56","USSM11405189","spotify:user:arytiss","2024-07-17T17:09:43Z","irish singer-songwriter,modern rock,pop,pov: indie","0.559","0.443","0","-6.52","0","0.0259","0.403","0.000183","0.141","0.264","67.05","3","","Columbia","P (P) 2014 Rubyworks, under license to Columbia Records, a Division of Sony Music Entertainment"
"spotify:track:5aRZk9oWIYUB5alrTs8TTV","From Eden","spotify:artist:2FXC3k01G6Gw61bmprjgqS","Hozier","spotify:album:4Pv7m8D82A1Xun7xNCKZjJ","Hozier (Expanded Edition)","spotify:artist:2FXC3k01G6Gw61bmprjgqS","Hozier","2014-09-19","https://i.scdn.co/image/ab67616d0000b2734ca68d59a4a29c856a4a39c2","1","6","283466","https://p.scdn.co/mp3-preview/96e5a400bad5cd41a58e20a3f134d9a40c8161f9?cid=9950ac751e34487dbbe027c4fd7f8e99","false","66","USSM11405190","spotify:user:arytiss","2024-07-17T17:09:43Z","irish singer-songwriter,modern rock,pop,pov: indie","0.399","0.673","0","-5.506","1","0.0509","0.584","0.0000244","0.118","0.285","142.255","5","","Columbia","P (P) 2014 Rubyworks, under license to Columbia Records, a Division of Sony Music Entertainment"
"spotify:track:28jCwARf1gYfHtTHmJJNHQ","In a Week (feat. Karen Cowley)","spotify:artist:2FXC3k01G6Gw61bmprjgqS, spotify:artist:0pANuDFzZpuOm7NK5L478T","Hozier, Karen Cowley","spotify:album:4Pv7m8D82A1Xun7xNCKZjJ","Hozier (Expanded Edition)","spotify:artist:2FXC3k01G6Gw61bmprjgqS","Hozier","2014-09-19","https://i.scdn.co/image/ab67616d0000b2734ca68d59a4a29c856a4a39c2","1","7","318493","https://p.scdn.co/mp3-preview/a5bf26db768ee40193a885289f617964775e036f?cid=9950ac751e34487dbbe027c4fd7f8e99","false","54","USSM11405191","spotify:user:arytiss","2024-07-17T17:09:43Z","irish singer-songwriter,modern rock,pop,pov: indie","0.465","0.269","0","-12.14","1","0.0311","0.791","0.00000751","0.139","0.184","131.391","3","","Columbia","P (P) 2014 Rubyworks, under license to Columbia Records, a Division of Sony Music Entertainment"
"spotify:track:3Ub5gDJTOGWr2AlDcScUIr","Sedated","spotify:artist:2FXC3k01G6Gw61bmprjgqS","Hozier","spotify:album:4Pv7m8D82A1Xun7xNCKZjJ","Hozier (Expanded Edition)","spotify:artist:2FXC3k01G6Gw61bmprjgqS","Hozier","2014-09-19","https://i.scdn.co/image/ab67616d0000b2734ca68d59a4a29c856a4a39c2","1","8","207666","https://p.scdn.co/mp3-preview/392dfff61a7e2d6039332012d2a1b5e153e217ad?cid=9950ac751e34487dbbe027c4fd7f8e99","false","58","USSM11403162","spotify:user:arytiss","2024-07-17T17:09:43Z","irish singer-songwriter,modern rock,pop,pov: indie","0.66","0.592","9","-5.215","0","0.027","0.184","0.0000186","0.102","0.256","86.069","4","","Columbia","P (P) 2014 Rubyworks, under license to Columbia Records, a Division of Sony Music Entertainment"
"spotify:track:5TgEJ62DOzBpGxZ7WRsrqb","Work Song","spotify:artist:2FXC3k01G6Gw61bmprjgqS","Hozier","spotify:album:4Pv7m8D82A1Xun7xNCKZjJ","Hozier (Expanded Edition)","spotify:artist:2FXC3k01G6Gw61bmprjgqS","Hozier","2014-09-19","https://i.scdn.co/image/ab67616d0000b2734ca68d59a4a29c856a4a39c2","1","9","229720","https://p.scdn.co/mp3-preview/4645ce3b1f238810c2e61a57a4b4ed4c2e78bd62?cid=9950ac751e34487dbbe027c4fd7f8e99","false","76","USSM11401475","spotify:user:arytiss","2024-07-17T17:09:43Z","irish singer-songwriter,modern rock,pop,pov: indie","0.531","0.363","10","-7.672","1","0.0608","0.749","0","0.112","0.259","121.412","4","","Columbia","P (P) 2014 Rubyworks, under license to Columbia Records, a Division of Sony Music Entertainment"
"spotify:track:57V4uc2b2diZ4RPHXWecb9","Like Real People Do","spotify:artist:2FXC3k01G6Gw61bmprjgqS","Hozier","spotify:album:4Pv7m8D82A1Xun7xNCKZjJ","Hozier (Expanded Edition)","spotify:artist:2FXC3k01G6Gw61bmprjgqS","Hozier","2014-09-19","https://i.scdn.co/image/ab67616d0000b2734ca68d59a4a29c856a4a39c2","1","10","198026","https://p.scdn.co/mp3-preview/867c111d7d723b9835e8cb17691bdeb9cff6fcc5?cid=9950ac751e34487dbbe027c4fd7f8e99","false","70","USSM11307292","spotify:user:arytiss","2024-07-17T17:09:43Z","irish singer-songwriter,modern rock,pop,pov: indie","0.539","0.179","7","-14.33","1","0.0309","0.921","0.393","0.106","0.145","140.01","3","","Columbia","P (P) 2014 Rubyworks, under license to Columbia Records, a Division of Sony Music Entertainment"
