"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At","Artist Genres","Danceability","Energy","Key","Loudness","Mode","Speechiness","Acousticness","Instrumentalness","Liveness","Valence","Tempo","Time Signature","Album Genres","Label","Copyrights"
"spotify:track:7HUhMOrlvwBPfBq3c0ajh0","JOYRIDE","spotify:artist:6LqNN22kT3074XbTVUrhzX","Kesha","spotify:album:145ynqxpTLjXrU5qvER4ea","JOYRIDE","spotify:artist:6LqNN22kT3074XbTVUrhzX","Kesha","2024-07-04","https://i.scdn.co/image/ab67616d0000b273336f6fbf3007f73a9782b026","1","1","150000","https://p.scdn.co/mp3-preview/8d1ec5ff1ce87253fa171515beb29d346d1e4431?cid=9950ac751e34487dbbe027c4fd7f8e99","true","75","QZNWP2451049","spotify:user:evebal","2024-07-15T21:21:12Z","dance pop,pop","0.788","0.898","10","-4.653","0","0.0592","0.0182","0.000123","0.114","0.496","115.96","4","","Kesha Records","C 2024 Kesha Records, P 2024 Kesha Records"
"spotify:track:0FPCqTZoiZpEs324IJFFpQ","BOA","spotify:artist:181bsRPaVXVlUKXrxwZfHK","Megan Thee Stallion","spotify:album:0FzWvaeMBfKBCqxHTLVlB8","MEGAN","spotify:artist:181bsRPaVXVlUKXrxwZfHK","Megan Thee Stallion","2024-06-28","https://i.scdn.co/image/ab67616d0000b2732538afd3580d0424bbe28a01","1","9","154732","https://p.scdn.co/mp3-preview/278e498a8f3253c63aeacce8c4f7d82eec3fe46d?cid=9950ac751e34487dbbe027c4fd7f8e99","true","72","USAT22402630","spotify:user:evebal","2024-07-15T21:21:12Z","houston rap,pop,r&b,rap,trap queen","0.896","0.741","0","-3.429","1","0.303","0.000436","0","0.11","0.809","147.025","4","","Hot Girl Productions","C © 2024 Hot Girl Productions LLC, P ℗ 2024 Hot Girl Productions LLC"
"spotify:track:5b3XJ1pjrHO5JtY2PcTjnI","Mamushi (feat. Yuki Chiba)","spotify:artist:181bsRPaVXVlUKXrxwZfHK, spotify:artist:6Qhgat07PNOdnJSnCXJigu","Megan Thee Stallion, Yuki Chiba","spotify:album:0FzWvaeMBfKBCqxHTLVlB8","MEGAN","spotify:artist:181bsRPaVXVlUKXrxwZfHK","Megan Thee Stallion","2024-06-28","https://i.scdn.co/image/ab67616d0000b2732538afd3580d0424bbe28a01","1","10","156988","https://p.scdn.co/mp3-preview/ad028023c4f85d3cd1e10380f26772e07c938c46?cid=9950ac751e34487dbbe027c4fd7f8e99","true","82","USAT22405478","spotify:user:evebal","2024-07-15T21:21:12Z","houston rap,pop,r&b,rap,trap queen","0.892","0.531","1","-4.968","1","0.207","0.033","0","0.0824","0.209","81.036","4","","Hot Girl Productions","C © 2024 Hot Girl Productions LLC, P ℗ 2024 Hot Girl Productions LLC"
"spotify:track:6saYisCUAZXc505blie9kZ","Otaku Hot Girl","spotify:artist:181bsRPaVXVlUKXrxwZfHK","Megan Thee Stallion","spotify:album:0FzWvaeMBfKBCqxHTLVlB8","MEGAN","spotify:artist:181bsRPaVXVlUKXrxwZfHK","Megan Thee Stallion","2024-06-28","https://i.scdn.co/image/ab67616d0000b2732538afd3580d0424bbe28a01","1","7","158663","https://p.scdn.co/mp3-preview/f7604de5070ecafabf5e10dc59e207151295bdf1?cid=9950ac751e34487dbbe027c4fd7f8e99","true","78","USAT22405476","spotify:user:evebal","2024-07-15T21:21:12Z","houston rap,pop,r&b,rap,trap queen","0.757","0.756","0","-3.198","1","0.0664","0.0655","0","0.149","0.505","157.989","4","","Hot Girl Productions","C © 2024 Hot Girl Productions LLC, P ℗ 2024 Hot Girl Productions LLC"
"spotify:track:2OUK5td58k4BV2GvFdfdzr","Where Them Girls At","spotify:artist:181bsRPaVXVlUKXrxwZfHK","Megan Thee Stallion","spotify:album:0FzWvaeMBfKBCqxHTLVlB8","MEGAN","spotify:artist:181bsRPaVXVlUKXrxwZfHK","Megan Thee Stallion","2024-06-28","https://i.scdn.co/image/ab67616d0000b2732538afd3580d0424bbe28a01","1","4","191711","https://p.scdn.co/mp3-preview/2753beb8d8a23b291b94e8faed75a26d722e2c48?cid=9950ac751e34487dbbe027c4fd7f8e99","true","74","USAT22405473","spotify:user:evebal","2024-07-15T21:21:12Z","houston rap,pop,r&b,rap,trap queen","0.817","0.638","8","-4.391","0","0.188","0.0189","0","0.0848","0.428","144.037","4","","Hot Girl Productions","C © 2024 Hot Girl Productions LLC, P ℗ 2024 Hot Girl Productions LLC"
"spotify:track:0CySZwyRJ0vyUqtSjM9i2k","Club classics","spotify:artist:25uiPmTg16RbhZWAqwLBy5","Charli xcx","spotify:album:2lIZef4lzdvZkiiCzvPKj7","BRAT","spotify:artist:25uiPmTg16RbhZWAqwLBy5","Charli xcx","2024-06-07","https://i.scdn.co/image/ab67616d0000b27388e3822cccfb8f2832c70c2e","1","2","153526","https://p.scdn.co/mp3-preview/a6cf2eac7569e8c890121f3fbe40364013b0107b?cid=9950ac751e34487dbbe027c4fd7f8e99","false","78","USAT22401342","spotify:user:evebal","2024-07-15T21:21:12Z","art pop,candy pop,metropopolis,pop,uk pop","0.704","0.868","7","-6.022","1","0.191","0.125","0.000044","0.167","0.712","144.969","4","","Atlantic Records","C © 2024 Atlantic Recording Corporation, P ℗ 2024 Atlantic Recording Corporation"
"spotify:track:5b5cPscqVEMChvDqscVw26","Training Season","spotify:artist:6M2wZ9GZgrQXHCFfjv46we","Dua Lipa","spotify:album:1Mo92916G2mmG7ajpmSVrc","Radical Optimism","spotify:artist:6M2wZ9GZgrQXHCFfjv46we","Dua Lipa","2024-05-03","https://i.scdn.co/image/ab67616d0000b273778c1e4660aa23f6728b32a1","1","3","209487","https://p.scdn.co/mp3-preview/5608f578347ae26c20bfebbad47a057eca7b3d5a?cid=9950ac751e34487dbbe027c4fd7f8e99","false","82","GBAHT2301078","spotify:user:evebal","2024-07-15T21:21:12Z","dance pop,pop,uk pop","0.812","0.587","5","-4.483","0","0.0477","0.0349","0.00000264","0.123","0.664","123.041","4","","Warner Records","C Under exclusive license to Warner Records UK, a division of Warner Music UK Limited, © 2024 Radical22 Limited, P Under exclusive license to Warner Records UK, a division of Warner Music UK Limited, ℗ 2024 Radical22 Limited with the exception of Track 2 ℗ 2023 Radical22 Limited"
"spotify:track:3Y1EvIgEVw51XtgNEgpz5c","Von dutch","spotify:artist:25uiPmTg16RbhZWAqwLBy5","Charli xcx","spotify:album:2lIZef4lzdvZkiiCzvPKj7","BRAT","spotify:artist:25uiPmTg16RbhZWAqwLBy5","Charli xcx","2024-06-07","https://i.scdn.co/image/ab67616d0000b27388e3822cccfb8f2832c70c2e","1","6","164284","https://p.scdn.co/mp3-preview/7faf86e041f0fc977545aadc2b4f852eb5f145d4?cid=9950ac751e34487dbbe027c4fd7f8e99","true","80","USAT22313737","spotify:user:evebal","2024-07-15T21:21:12Z","art pop,candy pop,metropopolis,pop,uk pop","0.706","0.698","10","-5.679","1","0.0537","0.00298","0.00375","0.116","0.648","130.013","4","","Atlantic Records","C © 2024 Atlantic Recording Corporation, P ℗ 2024 Atlantic Recording Corporation"
"spotify:track:62fqMvguJbsSs9HKhhRfuS","Talk talk","spotify:artist:25uiPmTg16RbhZWAqwLBy5","Charli xcx","spotify:album:2lIZef4lzdvZkiiCzvPKj7","BRAT","spotify:artist:25uiPmTg16RbhZWAqwLBy5","Charli xcx","2024-06-07","https://i.scdn.co/image/ab67616d0000b27388e3822cccfb8f2832c70c2e","1","5","161757","https://p.scdn.co/mp3-preview/a95501e13d90974998ad04d943fdd3f96f29331e?cid=9950ac751e34487dbbe027c4fd7f8e99","false","79","USAT22401345","spotify:user:evebal","2024-07-15T21:21:12Z","art pop,candy pop,metropopolis,pop,uk pop","0.579","0.892","0","-5.636","0","0.282","0.0455","0","0.137","0.639","130.146","3","","Atlantic Records","C © 2024 Atlantic Recording Corporation, P ℗ 2024 Atlantic Recording Corporation"
"spotify:track:5c9tBmJKbTdn1vhzXHeAwW","Sympathy is a knife","spotify:artist:25uiPmTg16RbhZWAqwLBy5","Charli xcx","spotify:album:2lIZef4lzdvZkiiCzvPKj7","BRAT","spotify:artist:25uiPmTg16RbhZWAqwLBy5","Charli xcx","2024-06-07","https://i.scdn.co/image/ab67616d0000b27388e3822cccfb8f2832c70c2e","1","3","151125","https://p.scdn.co/mp3-preview/1a782e33f0c910129167914a89fc7b53edc52264?cid=9950ac751e34487dbbe027c4fd7f8e99","true","79","USAT22401343","spotify:user:evebal","2024-07-15T21:21:12Z","art pop,candy pop,metropopolis,pop,uk pop","0.718","0.706","7","-5.596","0","0.0587","0.0539","0","0.41","0.58","131.943","4","","Atlantic Records","C © 2024 Atlantic Recording Corporation, P ℗ 2024 Atlantic Recording Corporation"
