"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At","Artist Genres","Danceability","Energy","Key","Loudness","Mode","Speechiness","Acousticness","Instrumentalness","Liveness","Valence","Tempo","Time Signature","Album Genres","Label","Copyrights"
"spotify:track:10QMwOs8ichrT1LIzDnlXD","Who Would You Be For Me","spotify:artist:1rCIEwPp5OnXW0ornlSsRl","Metric","spotify:album:1PedVMTwt52VHigoA1eqac","Who Would You Be For Me","spotify:artist:1rCIEwPp5OnXW0ornlSsRl","Metric","2023-09-08","https://i.scdn.co/image/ab67616d0000b273806707c98cdc186022c83bcd","1","1","301333","https://p.scdn.co/mp3-preview/4f0bb5803a3a2b00879df058446b93b8cdcd71d7?cid=9950ac751e34487dbbe027c4fd7f8e99","false","53","CBBEL2300005","","2023-09-22T13:32:23Z","canadian indie,canadian rock,indie rock,indietronica,metropopolis,neo-synthpop","0.547","0.573","11","-6.732","1","0.0266","0.0457","0.0929","0.0827","0.301","135.953","4","","Metric Music International, Inc.","C (C) 2023 Metric Music International, Inc. marketed and distributed by Thirty Tigers, P (P) 2023 Metric Music International, Inc. marketed and distributed by Thirty Tigers"
"spotify:track:3wdrHVkaD700qA8P3OjmYR","Leonard Cohen","spotify:artist:1hLiboQ98IQWhpKeP9vRFw, spotify:artist:12zbUHbPHL5DGuJtiUfsip, spotify:artist:1r1uxoy19fzMxunt3ONAkG, spotify:artist:07D1Bjaof0NFlU32KXiqUP","boygenius, Julien Baker, Phoebe Bridgers, Lucy Dacus","spotify:album:0e9GjrztzBw8oMC6n2CDeI","the record","spotify:artist:1hLiboQ98IQWhpKeP9vRFw","boygenius","2023-03-31","https://i.scdn.co/image/ab67616d0000b27343fc02bcfa7cd4e6bb66aa22","1","8","102146","https://p.scdn.co/mp3-preview/8182f4a2f98082f06048cac6aa77babe65141df2?cid=9950ac751e34487dbbe027c4fd7f8e99","false","63","USUG12209244","","2023-09-21T18:28:52Z","indie pop,ambient folk,indie pop,indie pop,la indie,pov: indie,chamber pop,indie pop","0.565","0.307","2","-12.136","1","0.0311","0.789","0.000979","0.0997","0.549","94.847","4","","boygenius under exclusive license to Interscope Records","C © 2023 boygenius, under exclusive license to Interscope Records, P ℗ 2023 boygenius, under exclusive license to Interscope Records"
"spotify:track:0I9fIFP5ttqcCT1QJgwD7d","Man Proposes, God Disposes","spotify:artist:1V0lOaoLxdCQjOmrnpvhwq","Sprain","spotify:album:4DYjQAfIJMtvw43uw1L64c","The Lamb as Effigy","spotify:artist:1V0lOaoLxdCQjOmrnpvhwq","Sprain","2023-09-01","https://i.scdn.co/image/ab67616d0000b2739907ee6953e058b292e2d73d","1","1","429853","https://p.scdn.co/mp3-preview/1784a7536e39e24036370d78029406346f92b295?cid=9950ac751e34487dbbe027c4fd7f8e99","false","43","USA2Z2201370","","2023-09-18T13:48:10Z","slowcore","0.24","0.943","7","-5.237","1","0.154","0.04","0.0000532","0.318","0.0618","100","4","","The Flenser","C (C) 2023 The Flenser, P (P) 2023 The Flenser"
"spotify:track:6hICdvzW6w00x4colFnbK8","Doggg runnn","spotify:artist:3KuNGrXzOFrVtQvi8czDCR","Jan flu","spotify:album:6P9arhfvqOYNfyYpQbP8x4","Discoveri ch.","spotify:artist:3KuNGrXzOFrVtQvi8czDCR","Jan flu","2022-08-03","https://i.scdn.co/image/ab67616d0000b273a9bb5890f94bc6940091f6d3","1","4","207806","https://p.scdn.co/mp3-preview/01d987a6d7b5355e1fe1022c291f5f490992dec5?cid=9950ac751e34487dbbe027c4fd7f8e99","false","4","JPG102200865","","2023-08-29T19:17:53Z","japanese dream pop","0.59","0.811","6","-8.123","1","0.0356","0.32","0.171","0.15","0.803","91.007","4","","FRIENDSHIP.","C 2022 FRIENDSHIP., P 2022 FRIENDSHIP."
"spotify:track:1rqGuE3jvcvacQk96lfnl6","I See Myself","spotify:artist:0WCo84qtCKfbyIf1lqQWB4","Geese","spotify:album:475CtqaU2OY24xBvIekWV6","3D Country","spotify:artist:0WCo84qtCKfbyIf1lqQWB4","Geese","2023-06-23","https://i.scdn.co/image/ab67616d0000b273441e6e776be5e5a4b6c2b9de","1","4","180807","https://p.scdn.co/mp3-preview/8fbce3ae78a0d675e104aa18427f8f16f16c0ee2?cid=9950ac751e34487dbbe027c4fd7f8e99","false","47","USBQU2200321","","2023-08-21T02:32:10Z","crank wave","0.769","0.613","5","-7.699","1","0.0382","0.17","0.0000216","0.459","0.892","131.948","4","","Partisan / Play It Again Sam","C 2023 Partisan Records / Play It Again Sam, P 2023 Partisan Records / Play It Again Sam"
"spotify:track:31TJOYv6UYUHtBXlUUpo1k","The End Of The Night","spotify:artist:7sPZakwiHQUWkG1teFE8zv","The Greenhornes","spotify:album:6eIpFf6vvpSP6qCik9JeBP","Gun for You","spotify:artist:7sPZakwiHQUWkG1teFE8zv","The Greenhornes","1999","https://i.scdn.co/image/ab67616d0000b273f4bf238375e48b2b85ba5994","1","1","111933","https://p.scdn.co/mp3-preview/528353046a001873764bd898218ac4ae54ca9c67?cid=9950ac751e34487dbbe027c4fd7f8e99","false","37","USTCF1005347","","2023-07-24T23:13:44Z","garage rock,garage rock revival,modern blues rock,punk blues","0.498","0.709","6","-5.617","0","0.0362","0.0345","0.884","0.134","0.794","118.735","4","","The Greenhornes","C 2012 The Greenhornes, P 2012 The Greenhornes"
"spotify:track:0wywyg0iRJexy0ERV9svbO","Lucky","spotify:artist:5Wj0an60VgRckYV9zlDe1e","Momma","spotify:album:1jjI2c9jxiKdIV46hCH5h2","Household Name","spotify:artist:5Wj0an60VgRckYV9zlDe1e","Momma","2022-07-01","https://i.scdn.co/image/ab67616d0000b273088d81927483865772a923cd","1","7","243440","https://p.scdn.co/mp3-preview/34dd5e754f1e3002253a99d507fe683ba61b15f7?cid=9950ac751e34487dbbe027c4fd7f8e99","false","33","US3R42245707","","2023-07-17T23:00:57Z","bubblegrunge,indie rock,small room","0.258","0.828","8","-7.326","1","0.0344","0.0316","0.21","0.0971","0.518","88.548","4","","Polyvinyl Records","C 2022 Polyvinyl Record Co., P 2022 Polyvinyl Record Co."
"spotify:track:7mhFaGUfdSZaay8HwVWJsm","Hoping You're Doing Okay","spotify:artist:3pGNoAJX3UVctU6X8eG55h","Greg Mendez","spotify:album:2jbgzfwZf1821YjhhSPrik","Greg Mendez","spotify:artist:3pGNoAJX3UVctU6X8eG55h","Greg Mendez","2023-05-05","https://i.scdn.co/image/ab67616d0000b273c64fe744d04776db08aecce5","1","9","167522","https://p.scdn.co/mp3-preview/a6c3bf962b0b0b0ead770b2e4d6e53487d558512?cid=9950ac751e34487dbbe027c4fd7f8e99","false","31","QMFMF2201772","","2023-07-08T17:14:50Z","","0.589","0.144","5","-15.256","1","0.0379","0.874","0.0071","0.11","0.42","94.707","4","","Forged Artifacts","C (C) 2023 Forged Artifacts, P (P) 2023 Forged Artifacts"
"spotify:track:5c2jJgsGsnYWB6QdkK1ycR","Lipstick Lover","spotify:artist:6ueGR6SWhUJfvEhqkvMsVs","Janelle Monáe","spotify:album:76yGR9gMIP6BdHuWsb7Iun","The Age of Pleasure","spotify:artist:6ueGR6SWhUJfvEhqkvMsVs","Janelle Monáe","2023-06-08","https://i.scdn.co/image/ab67616d0000b27362cec50a66629d11c293662c","1","7","169386","https://p.scdn.co/mp3-preview/feeb679640cd8098b090f93ce2ecb29a4e62f55e?cid=9950ac751e34487dbbe027c4fd7f8e99","false","55","USAT22306295","","2023-07-07T15:25:16Z","afrofuturism,alternative r&b,atl hip hop,neo soul,r&b","0.589","0.434","6","-7.531","0","0.113","0.305","0","0.25","0.657","169.983","4","","1017/Atlantic","C © 2023 Wondaland Productions LLC under exclusive license to Bad Boy Records LLC, P ℗ 2023 Wondaland Productions LLC under exclusive license to Bad Boy Records LLC"
"spotify:track:1kIy5BhfFByWzKXixq0qx0","Ritalin","spotify:artist:1nwPEi1UZdJtCxBqATpsq3","Ruby Fields","spotify:album:6bpiy8pVcojYwKAHYknp0A","Your Dad's Opinion for Dinner","spotify:artist:1nwPEi1UZdJtCxBqATpsq3","Ruby Fields","2018-03-01","https://i.scdn.co/image/ab67616d0000b273a17a496692227a793a917dc5","1","1","188833","https://p.scdn.co/mp3-preview/d5673a4010a48bd2569160fdf27dc05406bd948c?cid=9950ac751e34487dbbe027c4fd7f8e99","true","37","TCADM1893300","","2023-07-07T13:02:41Z","australian garage punk,australian indie","0.349","0.928","5","-3.892","1","0.0567","0.00222","0.000107","0.336","0.729","175.163","4","","Ruby Fields","C 2018 Ruby Fields, P 2018 Ruby Fields"
