Track URI,Track Name,Artist URI(s),Artist Name(s),Album URI,Album Name,Album Artist URI(s),Album Artist Name(s),Album Release Date,Album Image URL,Disc Number,Track Number,Track Duration (ms),Track Preview URL,Explicit,Popularity,ISRC,Added By,Added At,Artist Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature,Album Genres,Label,Copyrights,0.2367685381
spotify:track:4BdyNseqOFVFUsXJRkpn4X,Expecting,spotify:artist:4F84IBURUo98rz4r61KF70,The White Stripes,spotify:album:6ivqUxtSPTljd9Frfdyxbg,White Blood Cells,spotify:artist:4F84IBURUo98rz4r61KF70,The White Stripes,2001-07-03,https://i.scdn.co/image/ab67616d0000b2739f5013e0918c4cab46dc0c37,1,5,123266,,FALSE,0,GBBKS0100353,,2014-08-08T13:30:27Z,"alternative rock,blues rock,detroit rock,garage rock,modern blues rock,permanent wave,punk blues,rock",0.357,0.947,0,-3.04,1,0.222,0.391,0.0000565,0.158,0.264,179.177,4,,null,,
spotify:track:0gyklQh759MsvEHnhDKEWK,A Martyr For My Love For You,spotify:artist:4F84IBURUo98rz4r61KF70,The White Stripes,spotify:album:5bIRH87yhUXb6IaW61mNQj,Icky Thump,spotify:artist:4F84IBURUo98rz4r61KF70,The White Stripes,2007-06-15,https://i.scdn.co/image/ab67616d0000b273abf4c6c683cf9ef51926ad63,1,11,259506,,FALSE,0,GBBKS0700157,,2014-05-08T12:48:16Z,"alternative rock,blues rock,detroit rock,garage rock,modern blues rock,permanent wave,punk blues,rock",0.354,0.438,4,-8.257,0,0.037,0.0926,0.0488,0.087,0.182,83.945,4,,XL Recordings,"C 2007 The White Stripes / Third Man Records, LLC exclusively licensed to XL Recordings, Ltd., P 2007 The White Stripes / Third Man Records, LLC exclusively licensed to XL Recordings, Ltd.",
spotify:track:1DH4YwHHGBkWO8dX3JISjl,The Hardest Button To Button,spotify:artist:4F84IBURUo98rz4r61KF70,The White Stripes,spotify:album:0VXcqDD3sHdOIGtO6oYv3d,Elephant,spotify:artist:4F84IBURUo98rz4r61KF70,The White Stripes,2003-04-01,https://i.scdn.co/image/ab67616d0000b273a740e40ad00eaf662962f91d,1,9,212266,,FALSE,0,USVT10300009,,2014-08-08T13:30:27Z,"alternative rock,blues rock,detroit rock,garage rock,modern blues rock,permanent wave,punk blues,rock",0.693,0.539,7,-8.366,1,0.0796,0.00846,0.377,0.0953,0.535,128.414,4,,null,,
spotify:track:4yOztRx5tJzkXmMWaCcL9T,The Fear - Flipped,spotify:artist:4LG4Bs1Gadht7TCrMytQUO,The Shins,spotify:album:1Hz6OvbYJR0s2AWS1EvO6c,The Worm's Heart,spotify:artist:4LG4Bs1Gadht7TCrMytQUO,The Shins,2018-01-19,https://i.scdn.co/image/ab67616d0000b273c0ca8bb865078b8014cbef2f,1,1,281173,https://p.scdn.co/mp3-preview/9267ea5f556a1f32bdd724a234ba21c42a92b603?cid=9950ac751e34487dbbe027c4fd7f8e99,FALSE,23,USSM11703406,,2018-01-19T06:05:39Z,"albuquerque indie,alternative rock,canadian indie,chamber pop,indie pop,indie rock,modern rock,portland indie,stomp and holler",0.569,0.779,10,-7.704,1,0.0275,0.106,0.475,0.188,0.882,107.379,4,,Aural Apothecary/Columbia,"P (P) 2017, 2018 Columbia Records, a Division of Sony Music Entertainment",
spotify:track:5B5aFYthYJkn9KCmNlP8uo,Give Your Heart Away,spotify:artist:7mnBLXK823vNxN3UWB7Gfz,The Black Keys,spotify:album:4jFfuHyKmhGeipjRmKIh8O,Magic Potion,spotify:artist:7mnBLXK823vNxN3UWB7Gfz,The Black Keys,2006-09-12,https://i.scdn.co/image/ab67616d0000b27366d82c5fdf81c2d0bfb98bd2,1,5,206493,https://p.scdn.co/mp3-preview/7008f813af434bd6ce5b0b93f9b9ef617c3535b9?cid=9950ac751e34487dbbe027c4fd7f8e99,FALSE,34,USNO10696705,,2014-08-08T13:30:48Z,"alternative rock,blues rock,garage rock,indie rock,indietronica,modern blues rock,modern rock,punk blues,rock,roots rock",0.351,0.747,9,-7.063,1,0.0435,0.641,0.000966,0.141,0.645,77.829,4,,Nonesuch,"C © 2006 Nonesuch Records, Inc., P ℗ 2006 Nonesuch Records, Inc.",
spotify:track:7voVwwLn1d5wyYqYPpCw1V,Couldn't Stand the Weather,spotify:artist:5fsDcuclIe8ZiBD5P787K1,Stevie Ray Vaughan,spotify:album:4dShhtGUjPunYS95jHOm3r,The Essential Stevie Ray Vaughan And Double Trouble,spotify:artist:5fsDcuclIe8ZiBD5P787K1,Stevie Ray Vaughan,2002-08-27,https://i.scdn.co/image/ab67616d0000b273f443c20c8fd9933818965efc,1,9,281066,https://p.scdn.co/mp3-preview/2bbfa5bbbfe2f0f20ddbd86d33d40d7810e396b1?cid=9950ac751e34487dbbe027c4fd7f8e99,FALSE,34,USSM18400398,,2014-08-08T13:30:27Z,"album rock,blues,blues rock,classic rock,electric blues,hard rock,heartland rock,instrumental rock,rock,texas blues",0.548,0.716,1,-8.095,1,0.0483,0.077,0.375,0.159,0.504,120.851,4,,Epic/Legacy,P This compilation (P) 2002 Sony Music Entertainment,
spotify:track:66ErSqHwceMeweoDStQIB6,Viktor Borgia,spotify:artist:0WISkx0PwT6lYWdPqKUJY8,Stephen Malkmus,spotify:album:1NLfZsBP6hERjpZFf6NMLm,Groove Denied,spotify:artist:0WISkx0PwT6lYWdPqKUJY8,Stephen Malkmus,2019-03-15,https://i.scdn.co/image/ab67616d0000b273904080b7721faf777e658543,1,3,213080,,FALSE,0,USMTD1912420,,2019-03-15T16:13:54Z,"alternative rock,gbvfi,indie rock,lo-fi,slowcore",0.908,0.721,4,-5.421,1,0.0327,0.0169,0.288,0.164,0.724,101.003,4,,Matador,"C 2019 Matador Records, P 2019 Matador Records",
spotify:track:2uUrOGi639kxsgKDw4YmMm,Pet Politics,spotify:artist:4ePunOqQbOYoQwd1298g3Z,Silver Jews,spotify:album:1o797GseaR8YuNL5lxnDtY,The Natural Bridge,spotify:artist:4ePunOqQbOYoQwd1298g3Z,Silver Jews,1996-10-01,https://i.scdn.co/image/ab67616d0000b273d608506cca4c1e6f6d3724a1,1,2,244373,,FALSE,0,US58L0510102,,2019-09-10T18:23:37Z,"alternative country,alternative rock,chamber pop,gbvfi,indie rock,lo-fi,noise pop",0.423,0.381,4,-12.445,0,0.0317,0.586,0.625,0.0992,0.223,96.155,4,,Drag City Records,"C 1996 Drag City Inc., P 1996 Drag City Inc.",
spotify:track:5GPKdq0AW57bVnBH9ocFnQ,Blow,spotify:artist:4Segk6KYoauGfXdcCgAgCy,Silicon,spotify:album:3KBBiDH5VgTtOIRanw7dD2,Personal Computer,spotify:artist:4Segk6KYoauGfXdcCgAgCy,Silicon,2015-08-28,https://i.scdn.co/image/ab67616d0000b273be9d03988b8429236e90c804,1,9,233217,,FALSE,0,GBCEL1500145,,2015-10-29T21:10:26Z,"auckland indie,nz indie,nz pop",0.529,0.376,8,-11.588,1,0.0371,0.233,0.02,0.0868,0.14,118.525,4,,Weird World,"C 2015 Domino Recording Co Ltd, P 2015 Domino Recording Co Ltd",
spotify:track:1yWVTqDkRsiAVsOSS4DXHC,The Republic 7,spotify:artist:4Vtlz5IfA9y4EBwmp20wwk,Sam Prekop,spotify:album:0FQ03G4IfEBFaQIrRCxFif,The Republic,spotify:artist:4Vtlz5IfA9y4EBwmp20wwk,Sam Prekop,2015-02-24,https://i.scdn.co/image/ab67616d0000b27311a2655c788a94a2bedfd8e3,1,7,54333,,FALSE,0,USTJ21538407,,2015-09-15T23:16:40Z,chicago indie,0.262,0.0825,0,-17.016,1,0.0393,0.894,0.931,0.114,0.106,89.788,3,,Thrill Jockey Records,"C 2015 The Afternoon Speaker ASCAP, P 2015 Thrill Jockey Records",
spotify:track:0VLYOGNIaiOxEHKWOctcA4,Angel Duster,spotify:artist:4RnBFZRiMLRyZy0AzzTg2C,Run The Jewels,spotify:album:2lPYlP4eumsjz6LBG8GCbG,Run the Jewels 2,spotify:artist:4RnBFZRiMLRyZy0AzzTg2C,Run The Jewels,2014-10-24,https://i.scdn.co/image/ab67616d0000b27358fd7121f556c9c7476d99cf,1,11,309839,,TRUE,0,QM8RL1400023,,2015-12-25T21:31:24Z,"alternative hip hop,escape room,hip hop,political hip hop",0.507,0.81,6,-6.84,1,0.105,0.003,0.00000817,0.314,0.207,175.71,5,,Mass Appeal Records,C (C) 2014 Productomart under exclusive license to Mass Appeal Records,
spotify:track:5W8sli3Irb4ROGkhWo6xxH,Once Was One,spotify:artist:4kI8Ie27vjvonwaB2ePh8T,Portugal. The Man,spotify:album:1OWNvsDzhEwT5cXLlo9iO7,In the Mountain in the Cloud,spotify:artist:4kI8Ie27vjvonwaB2ePh8T,Portugal. The Man,2011-06-29,https://i.scdn.co/image/ab67616d0000b273420aa10cb7b13d35920c92b1,1,9,262133,https://p.scdn.co/mp3-preview/623ea647536d041c99871d0d9d30ff6e37b10208?cid=9950ac751e34487dbbe027c4fd7f8e99,FALSE,31,USAT21100253,,2014-08-08T13:15:10Z,"indie rock,indietronica,modern alternative rock,modern rock",0.426,0.71,7,-6.752,1,0.0443,0.0564,0.000596,0.0799,0.346,140.105,4,,Atlantic Records,"C © 2011 Atlantic Recording Corporation for the United States and WEA International Inc. for the world outside of the United States, P ℗ 2011 Atlantic Recording Corporation for the United States and WEA International Inc. for the world outside of the United States",
spotify:track:7wsbjDRJHWolGFr8wKqd3e,Just Another Psycho,spotify:artist:0cc6vw3VN8YlIcvr1v7tBL,Mötley Crüe,spotify:album:7D1P46k5kmREBwzJ94jIz4,Saints of Los Angeles,spotify:artist:0cc6vw3VN8YlIcvr1v7tBL,Mötley Crüe,2008-11-24,https://i.scdn.co/image/ab67616d0000b273fe1e905d8188929858a5b539,1,9,216693,,FALSE,0,USDPK0824013,,2014-08-08T13:30:27Z,"album rock,alternative metal,glam metal,hard rock,metal,rock,sleaze rock",0.523,0.917,10,-4.708,0,0.0678,0.000403,0.0179,0.104,0.48,101.474,4,,Mötley Records,"C Masters 2008, LLC, P Masters 2008, LLC",
